套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
U02S-1339,DC12,N5,58,1848.7017946855522,1883.0666420637338,34.36484737818157,1728.5614663077972,1731.5614663077972,1734.5614663077972,1734.5614663077972,1734.5614663077972,1848.7017946855522,4.933287435897228,1887.999929499631,1,3
U02S-1336,DC12,N2,59,1931.047377499631,1976.2331929875227,45.18581548789174,1920.047377499631,1928.047377499631,1931.047377499631,1931.047377499631,1931.047377499631,1931.047377499631,39.52424507936439,2015.757438066887,0,3
U02S-1342,DC12,N5,60,1893.999929499631,1954.6564237231967,60.656494223565666,1887.999929499631,1890.999929499631,1893.999929499631,1893.999929499631,1893.999929499631,1893.999929499631,5.0,1959.6564237231967,1,3
U02B-1334,DC12,N2,61,1976.2331929875227,2005.0874568833265,28.854263895803697,1963.6155757534002,1971.6155757534002,1974.6155757534002,1974.6155757534002,1974.6155757534002,1976.2331929875227,5.0,2010.0874568833265,1,4
U02B-1333,DC12,N5,62,1980.6155757534002,2017.0646600208256,36.44908426742531,1974.6155757534002,1977.6155757534002,1980.6155757534002,1980.6155757534002,1980.6155757534002,1980.6155757534002,8.036078769230699,2025.1007387900563,1,4
U02S-1337,DC12,N2,63,2036.1007387900563,2079.266643934503,43.16590514444671,2025.1007387900563,2033.1007387900563,2036.1007387900563,2036.1007387900563,2036.1007387900563,2036.1007387900563,4.303834666666717,2083.5704786011697,0,4
U02A-1330,DC12,N5,64,2017.0646600208256,2073.934444185609,56.869784164783724,1984.0879437331705,1987.0879437331705,1990.0879437331705,1990.0879437331705,1990.0879437331705,2017.0646600208256,5.0,2078.934444185609,0,4
U02A-1331,DC12,N2,65,2079.266643934503,2135.9408698684124,56.674225933909405,2036.1007387900563,2044.1007387900563,2047.1007387900563,2047.1007387900563,2047.1007387900563,2079.266643934503,5.0,2140.9408698684124,1,4
E01S-1211,BN1,N5,66,2073.934444185609,2097.521354488007,23.586910302397754,2047.1007387900563,2055.1007387900563,2058.1007387900563,2058.1007387900563,2058.1007387900563,2073.934444185609,3.0,2100.521354488007,1,1
E01S-1246,BN1,N2,67,2135.9408698684124,2188.375824936735,52.434955068322786,2083.5704786011697,2091.5704786011697,2094.5704786011697,2094.5704786011697,2094.5704786011697,2135.9408698684124,95.96145928571468,2284.33728422245,0,1
E01S-1223,BN1,N5,68,2120.1937586011695,2153.924445981333,33.730687380163566,2109.1937586011695,2117.1937586011695,2120.1937586011695,2120.1937586011695,2120.1937586011695,2120.1937586011695,17.905878809524438,2171.8303247908575,0,1
E01S-1244,BN1,N5,69,2153.924445981333,2207.300954781163,53.37650879983006,2120.1937586011695,2123.1937586011695,2126.1937586011695,2126.1937586011695,2126.1937586011695,2153.924445981333,96.13529626984155,2303.4362510510045,1,1
E01S-1209,BN1,N2,70,2188.375824936735,2233.888303063791,45.51247812705627,2140.9408698684124,2143.9408698684124,2146.9408698684124,2146.9408698684124,2146.9408698684124,2188.375824936735,67.02512171421495,2300.913424778006,1,1
E01S-1229,BN1,N2,71,2284.33728422245,2356.6447084895576,72.30742426710773,2278.33728422245,2281.33728422245,2284.33728422245,2284.33728422245,2284.33728422245,2284.33728422245,61.619936031745965,2418.2646445213036,0,1
